sentence_id,sentence_1,sentence_2,sentence_3,sentence_4,candidate_1,candidate_2,label
10,ESTRAGON:Our what?,VLADIMIR:Our Saviour. Two thieves. One is supposed to have been saved and the other . . .(he searches for the contrary of saved) . . . damned.,ESTRAGON:Saved from what?,VLADIMIR:Hell.,VLADIMIR:Let's go.,ESTRAGON:I'm going.He does not move.,2
11,ESTRAGON:(with exaggerated enthusiasm). I find this really most extraordinarily interesting.,"VLADIMIR:One out of four. Of the other three, two don't mention any thieves at all and thethird says that both of them abused him.",ESTRAGON:Who?,VLADIMIR:What?,POZZO:If you asked me to sit down.,ESTRAGON:What's all this about? Abused who?VLADIMIR:The Saviour.,2
12,VLADIMIR:Because he wouldn't save them.,ESTRAGON:From hell?,VLADIMIR:Imbecile! From death.,ESTRAGON:I thought you said hell.,"VLADIMIR:From death, from death.","ESTRAGON:(irritably). Not now, not now.",1
13,VLADIMIR:Then the two of them must have been damned.,ESTRAGON:And why not?,VLADIMIR:But one of the four says that one of the two was saved.,ESTRAGON:Well? They don't agree and that's all there is to it.,ESTRAGON:Not at all!,VLADIMIR:But all four were there. And only one speaks of a thief being saved. Why believehim rather than the others?,2
14,VLADIMIR:Everybody. It's the only version they know.,"ESTRAGON:People are bloody ignorant apes.He rises painfully, goes limping to extreme left, halts, gazes into distance off withhis hand screening his eyes, turns, goes to extreme right, gazes into distance.Vladimir watches him, then goes and picks up the boot, peers into it, drops ithastily.","VLADIMIR:Pah!He spits. Estragon moves to center, halts with his back to auditorium.","ESTRAGON:Charming spot. (He turns, advances to front, halts facing auditorium.) Inspiringprospects. (He turns to Vladimir.) Let's go.",ESTRAGON:Am I?,VLADIMIR:We can't.,2
15,VLADIMIR:We're waiting for Godot.,ESTRAGON:(despairingly). Ah! (Pause.) You're sure it was here?,VLADIMIR:What?,ESTRAGON:That we were to wait.,VLADIMIR:He said by the tree. (They look at the tree.) Do you see any others?,VLADIMIR:One can bide one's time.,1
16,VLADIMIR:I don't know. A willow.,ESTRAGON:Where are the leaves?,VLADIMIR:It must be dead.,ESTRAGON:No more weeping.,VLADIMIR:Or perhaps it's not the season.,ESTRAGON:What ails him?,1
17,VLADIMIR:A shrub.,ESTRAGON:A bush.,VLADIMIR:A—. What are you insinuating? That we've come to the wrong place?,ESTRAGON:He should be here.,VLADIMIR:He didn't say for sure he'd come.,"ESTRAGON:In the meantime, nothing happens.",1
18,VLADIMIR:We'll come back tomorrow.,ESTRAGON:And then the day after tomorrow.,VLADIMIR:Possibly.,ESTRAGON:And so on.,VLADIMIR:The point is—,ESTRAGON:Adam.,1
19,VLADIMIR:You're merciless.,ESTRAGON:We came here yesterday.,"VLADIMIR:Ah no, there you're mistaken.",ESTRAGON:What did we do yesterday?,ESTRAGON:We came here yesterday.,VLADIMIR:What did we do yesterday?,2
20,VLADIMIR:Why . . . (Angrily.) Nothing is certain when you're about.,ESTRAGON:In my opinion we were here.,VLADIMIR:(looking round). You recognize the place?,ESTRAGON:I didn't say that.,VLADIMIR:Well?,ESTRAGON:And what of it?,1
21,VLADIMIR:All the same . . . that tree . . . (turning towards auditorium) that bog . . .,ESTRAGON:You're sure it was this evening?,VLADIMIR:What?,ESTRAGON:That we were to wait.,VLADIMIR:From a bough? (They go towards the tree.) I wouldn't trust it.,VLADIMIR:He said Saturday. (Pause.) I think.,2
22,"VLADIMIR:I must have made a note of it. (He fumbles in his pockets, bursting withmiscellaneous rubbish.)",ESTRAGON:(very insidious). But what Saturday? And is it Saturday? Is it not rather Sunday?(Pause.) Or Monday? (Pause.) Or Friday?,"VLADIMIR:(looking wildly about him, as though the date was inscribed in the landscape). It'snot possible!",ESTRAGON:Or Thursday?,VLADIMIR:He didn't say for sure he'd come.,VLADIMIR:What'll we do?,2
23,VLADIMIR:But you say we were here yesterday.,"ESTRAGON:I may be mistaken. (Pause.) Let's stop talking for a minute, do you mind?","VLADIMIR:(feebly). All right. (Estragon sits down on the mound. Vladimir paces agitatedlyto and fro, halting from time to time to gaze into distance off. Estragon fallsasleep. Vladimir halts finally before Estragon.) Gogo! . . . Gogo! . . . GOGO!Estragon wakes with a start.",ESTRAGON:(restored to the horror of his situation). I was asleep! (Despairingly.) Why willyou never let me sleep?,VLADIMIR:Because he wouldn't save them.,VLADIMIR:I felt lonely.,2
24,VLADIMIR:Don't tell me!,ESTRAGON:I dreamt that—,VLADIMIR:DON'T TELL ME!,"ESTRAGON:(gesture toward the universe). This one is enough for you? (Silence.) It's not niceof you, Didi. Who am I to tell my private nightmares to if I can't tell them to you?",ESTRAGON:Ti-ed.,VLADIMIR:Let them remain private. You know I can't bear that.,2
25,VLADIMIR:You wouldn't go far.,"ESTRAGON:That would be too bad, really too bad. (Pause.) Wouldn't it, Didi, be really toobad? (Pause.) When you think of the beauty of the way. (Pause.) And thegoodness of the wayfarers. (Pause. Wheedling.) Wouldn't it, Didi?",VLADIMIR:Calm yourself.ESTRAGON:(voluptuously.) Calm . . . calm . . . The English say cawm. (Pause.) You know thestory of the Englishman in the brothel?,VLADIMIR:Yes.,ESTRAGON:What is it?,ESTRAGON:Tell it to me.,2
26,"ESTRAGON:An Englishman having drunk a little more than usual proceeds to a brothel. Thebawd asks him if he wants a fair one, a dark one or a red-haired one. Go on.","VLADIMIR:STOP IT!Exit Vladimir hurriedly. Estragon gets up and follows him as far as the limit ofthe stage. Gestures of Estragon like those of a spectator encouraging a pugilist.Enter Vladimir. He brushes past Estragon, crosses the stage with bowed head.Estragon takes a step towards him, halts.",ESTRAGON:(gently.) You wanted to speak to me? (Silence. Estragon takes a step forward.)You had something to say to me? (Silence. Another step forward.) Didi . . .,VLADIMIR:(without turning). I've nothing to say to you.,"ESTRAGON:(step forward). You're angry? (Silence. Step forward). Forgive me. (Silence. Stepforward. Estragon lays his hand on Vladimir's shoulder.) Come, Didi. (Silence.)Give me your hand. (Vladimir half turns.) Embrace me! (Vladimir stiffens.) Don'tbe stubborn! (Vladimir softens. They embrace. #Estragon recoils.) You stink of garlic!",VLADIMIR:I beg your pardon?,1
27,ESTRAGON:Wait.,"VLADIMIR:Yes, but while waiting.",ESTRAGON:What about hanging ourselves?,VLADIMIR:Hmm. It'd give us an erection.,VLADIMIR:We didn't intend any harm.,ESTRAGON:(highly excited). An erection!,2
28,ESTRAGON:Let's hang ourselves immediately!,VLADIMIR:From a bough? (They go towards the tree.) I wouldn't trust it.,ESTRAGON:We can always try.,VLADIMIR:Go ahead.,ESTRAGON:Godot?,ESTRAGON:After you.,2
29,ESTRAGON:Why me?,VLADIMIR:You're lighter than I am.,ESTRAGON:Just so!,VLADIMIR:I don't understand.,ESTRAGON:To your man.,"ESTRAGON:Use your intelligence, can't you?Vladimir uses his intelligence.",2
30,"ESTRAGON:This is how it is. (He reflects.) The bough . . . the bough . . . (Angrily.) Use yourhead, can't you?",VLADIMIR:You're my only hope.,ESTRAGON:(with effort). Gogo light—bough not break—Gogo dead. Didi heavy—boughbreak—Didi alone. Whereas—,VLADIMIR:I hadn't thought of that.,ESTRAGON:If it hangs you it'll hang anything.,ESTRAGON:I dreamt that—,1
31,ESTRAGON:So you tell me. I don't know. There's an even chance. Or nearly.,VLADIMIR:Well? What do we do?,ESTRAGON:Don't let's do anything. It's safer.,VLADIMIR:Let's wait and see what he says.ESTRAGON:Who?,VLADIMIR:Godot.,VLADIMIR:We're waiting for Godot.,1
32,VLADIMIR:Let's wait till we know exactly how we stand.,ESTRAGON:On the other hand it might be better to strike the iron before it freezes.,VLADIMIR:I'm curious to hear what he has to offer. Then we'll take it or leave it.,ESTRAGON:What exactly did we ask him for?,POZZO:(sobbing). He used to be so kind . . . so helpful . . . and entertaining . . . my goodangel . . . and now . . . he's killing me.,VLADIMIR:Were you not there?,2
33,VLADIMIR:Oh . . . Nothing very definite.,ESTRAGON:A kind of prayer.,VLADIMIR:Precisely.,ESTRAGON:A vague supplication.,VLADIMIR:True . . . we don't know him very well . . . but all the same . . .,VLADIMIR:Exactly.,2
34,VLADIMIR:That he'd see.,ESTRAGON:That he couldn't promise anything.,VLADIMIR:That he'd have to think it over.,ESTRAGON:In the quiet of his home.,VLADIMIR:It's for the kidneys. (Silence. Estragon looks attentively at the tree.) What do wedo now?,VLADIMIR:Consult his family.,2
35,VLADIMIR:His agents.,ESTRAGON:His correspondents.VLADIMIR:His books.,ESTRAGON:His bank account.,VLADIMIR:Before taking a decision.,ESTRAGON:What exactly did we ask him for?,ESTRAGON:It's the normal thing.,2
36,ESTRAGON:I think it is.,VLADIMIR:I think so too.Silence.,ESTRAGON:(anxious). And we?,VLADIMIR:I beg your pardon?,"POZZO:(in raptures). Mister! (Lucky bows his head.) Reply! Do you want them or don'tyou? (Silence of Lucky. To Estragon.) They're yours. (Estragon makes a dart atthe bones, picks them up and begins to gnaw them.) I don't like it. I've neverknown him to refuse a bone before. (He looks anxiously at Lucky.) Nice businessit'd be if he fell sick on me!He puffs at his pipe.","ESTRAGON:I said, And we?",2
37,ESTRAGON:Where do we come in?,VLADIMIR:Come in?,ESTRAGON:Take your time.,VLADIMIR:Come in? On our hands and knees.,ESTRAGON:As bad as that?,"VLADIMIR:Ah yes, the two thieves. Do you remember the story?",1
38,"ESTRAGON:We've no rights any more?Laugh of Vladimir, stifled as before, less the smile.",VLADIMIR:You'd make me laugh if it wasn't prohibited.,ESTRAGON:We've lost our rights?,"VLADIMIR:(distinctly). We got rid of them.Silence. They remain motionless, arms dangling, heads sunk, sagging at theknees.ESTRAGON:(feebly). We're not tied? (Pause.) We're not—",VLADIMIR:Well you see—,"VLADIMIR:Listen!They listen, grotesquely rigid. #",2
39,"VLADIMIR:Hsst! (They listen. Estragon loses his balance, almost falls. He clutches the arm ofVladimir, who totters. They listen, huddled together.) Nor I.Sighs of relief. They relax and separate.",ESTRAGON:You gave me a fright.,VLADIMIR:I thought it was he.,ESTRAGON:Who?,VLADIMIR:What?,VLADIMIR:Godot.,2
40,VLADIMIR:I could have sworn I heard shouts.,ESTRAGON:And why would he shout?,VLADIMIR:At his horse.Silence.,ESTRAGON:(violently). I'm hungry!,POZZO:Be careful! He's wicked. (Vladimir and Estragon turn towards Pozzo.) Withstrangers.,VLADIMIR:Do you want a carrot?,2
41,VLADIMIR:I might have some turnips.,"ESTRAGON:Give me a carrot. (Vladimir rummages in his pockets, takes out a turnip and givesit to Estragon who takes a bite out of it. Angrily.) It's a turnip!","VLADIMIR:Oh pardon! I could have sworn it was a carrot. (He rummages again in hispockets, finds nothing but turnips.) All that's turnips. (He rummages.) You musthave eaten the last. (He rummages.) Wait, I have it. (He brings out a carrot andgives it to Estragon.) There, dear fellow. #(Estragon wipes the carrot on his sleeve and begins to eat it.) Make it last, that'sthe end of them.ESTRAGON:(chewing). I asked you a question.",VLADIMIR:Ah.,ESTRAGON:Would that be a help?,ESTRAGON:Did you reply?,2
42,ESTRAGON:It's a carrot.,"VLADIMIR:So much the better, so much the better. (Pause.) What was it you wanted toknow?","ESTRAGON:I've forgotten. (Chews.) That's what annoys me. (He looks at the carrotappreciatively, dangles it between finger and thumb.) I'll never forget this carrot.(He sucks the end of it meditatively.) Ah yes, now I remember.",VLADIMIR:Well?,"ESTRAGON:(his mouth full, vacuously). We're not tied?",VLADIMIR:How do you mean tied?,1
43,"ESTRAGON:(chews, swallows). I'm asking you if we're tied.",VLADIMIR:Tied?,ESTRAGON:Ti-ed.,VLADIMIR:How do you mean tied?,ESTRAGON:So soon?,ESTRAGON:Down.,2
44,ESTRAGON:To your man.,VLADIMIR:To Godot? Tied to Godot! What an idea! No question of it. (Pause.) For themoment.,ESTRAGON:His name is Godot?,VLADIMIR:I think so.,"POZZO:Make haste, before he stops. (Estragon approaches Lucky and makes to wipe hiseyes. Lucky kicks him violently in the shins. Estragon drops the handkerchief,recoils, staggers about the stage howling with pain.) Hanky!Lucky puts down bag and basket, picks up handkerchief and gives it to Pozzo,goes back to his place, picks up bag and basket.","ESTRAGON:Fancy that. (He raises what remains of the carrot by the stub of leaf, twirls itbefore his eyes.) Funny, the more you eat the worse it gets.",2
45,ESTRAGON:In other words?,VLADIMIR:I get used to the muck as I go along.,ESTRAGON:(after prolonged reflection). Is that the opposite?,VLADIMIR:Question of temperament.,ESTRAGON:Of character.,ESTRAGON:And why not?,1
46,ESTRAGON:No use struggling.,VLADIMIR:One is what one is.,ESTRAGON:No use wriggling.,VLADIMIR:The essential doesn't change.,"POZZO:No no, I wouldn't think of it! (Pause. Aside.) Ask me again.","ESTRAGON:Nothing to be done. (He proffers the remains of the carrot to Vladimir.) Like tofinish it?A terrible cry, close at hand. Estragon drops the carrot. They remain motionless,then together make a sudden rush towards the wings. Estragon stops halfway,runs back, picks up the carrot, stuffs it in his pocket, runs to rejoin Vladimir whois waiting for him, stops again, runs back, picks up his boot, runs to rejoinVladimir. Huddled together, shoulders hunched, cringing away from the menace,they wait. #Enter Pozzo and Lucky. Pozzo drives Lucky by means of a rope passed round hisneck, so that Lucky is the first to enter, followed by the rope which is long enoughto let him reach the middle of the stage before Pozzo appears. Lucky carries aheavy bag, a folding stool, a picnic basket and a greatcoat, Pozzo a whip.",2
47,VLADIMIR:Let me go!ESTRAGON:Stay where you are!,POZZO:Be careful! He's wicked. (Vladimir and Estragon turn towards Pozzo.) Withstrangers.,ESTRAGON:(undertone). Is that him?,VLADIMIR:Who?,ESTRAGON:(trying to remember the name). Er . . .,VLADIMIR:It's not certain. (Pause.) Ask him a question.,1
48,ESTRAGON:Yes.,POZZO:I present myself: Pozzo.,VLADIMIR:(to Estragon). Not at all!,ESTRAGON:He said Godot.,ESTRAGON:His bank account.,VLADIMIR:Not at all!,2
49,POZZO:(terrifying voice). I am Pozzo! (Silence.) Pozzo! (Silence.) Does that name meannothing to you? (Silence.) I say does that name mean nothing to you?Vladimir and Estragon look at each other questioningly.,ESTRAGON:(pretending to search). Bozzo . . . Bozzo . . .,VLADIMIR:(ditto). Pozzo . . . Pozzo . . .,POZZO:PPPOZZZO!,"ESTRAGON:(hastily). We're not from these parts, Sir.POZZO:(halting). You are human beings none the less. (He puts on his glasses.) As far asone can see. (He takes off his glasses.) Of the same species as myself. (He burstsinto an enormous laugh.) Of the same species as Pozzo! Made in God's image!",ESTRAGON:Ah! Pozzo . . . let me see . . . Pozzo . . .,2
50,ESTRAGON:Pozzo . . . no . . . I'm afraid I . . . no . . . I don't seem to . . .Pozzo advances threateningly.,VLADIMIR:(conciliating). I once knew a family called Gozzo. The mother had the clap.,"ESTRAGON:(hastily). We're not from these parts, Sir.POZZO:(halting). You are human beings none the less. (He puts on his glasses.) As far asone can see. (He takes off his glasses.) Of the same species as myself. (He burstsinto an enormous laugh.) Of the same species as Pozzo! Made in God's image!",VLADIMIR:Well you see—,ESTRAGON:Just so!,POZZO:(peremptory). Who is Godot?,2
51,POZZO:You took me for Godot.,"VLADIMIR:Oh no, Sir, not for an instant, Sir.",POZZO:Who is he?,VLADIMIR:Oh he's a . . . he's a kind of acquaintance.,"ESTRAGON:Nothing of the kind, we hardly know him.","POZZO:(with magnanimous gesture). Let's say no more about it. (He jerks the rope.) Uppig! (Pause.) Every time he drops he falls asleep. (Jerks the rope.) Up hog! (Noiseof Lucky getting up and picking up his baggage. Pozzo jerks the rope.) Back!(Enter Lucky backwards.) Stop! (Lucky stops.) Turn! (Lucky turns. To Vladimirand Estragon, affably.) Gentlemen, I am happy to have met you. (Before theirincredulous expression.) Yes yes, sincerely happy. (He jerks the rope.) Closer!(Lucky advances.) Stop! (Lucky stops.) Yes, the road seems long when onejourneys all alone for . . . (he consults his watch) . . . yes . . . (he calculates) . . .yes, six hours, that's right, six hours on end, and never a soul in sight. (To Lucky.)Coat! (Lucky puts down the bag, advances, gives the coat, goes back to his place,takes up the bag.) Hold that! (Pozzo holds out the whip. Lucky advances and, bothhis hands being occupied, takes the whip in his mouth, then goes back to hisplace. Pozzo begins to put on his coat, stops.) Coat! (Lucky puts down the bag,basket and stool, helps Pozzo on with his coat, goes back to his place and takes upbag, basket and stool.) Touch of autumn in the air this evening. (Pozzo finishesbuttoning up his coat, stoops, inspects himself, straightens up.) Whip! (Luckyadvances, stoops, Pozzo snatches the whip from his mouth, Lucky goes back to hisplace.) Yes, gentlemen, I cannot go for long without the society of my likes (heputs on his glasses and looks at the two likes) even when the likeness is animperfect one. (He takes off his glasses.) Stool! (Lucky puts down bag and basket,advances, opens stool, puts it down, goes back to his place, takes up bag andbasket.) Closer! (Lucky puts down bag and basket, advances, moves stool, goesback to his place, takes up bag and basket. Pozzo sits down, places the butt of hiswhip against Lucky's chest and pushes.) Back! (Lucky takes a step back.) Further!(Lucky takes another step back.) Stop! (Lucky stops. To Vladimir and Estragon.)That is why, with your permission, I propose to dally with you a moment, before Iventure any further. Basket! (Lucky advances, gives the basket, goes back to hisplace.) The fresh air stimulates the jaded appetite. (He opens the basket, takes outa piece of chicken and a bottle of wine.) Basket! (Lucky advances, picks up thebasket and goes back to his place.) Further! (Lucky takes a step back.) He stinks.Happy days!He drinks from the bottle, puts it down and begins to eat. Silence. #Vladimir and Estragon, cautiously at first, then more boldly, begin to circle aboutLucky, inspecting him up and down. Pozzo eats his chicken voraciously, throwingaway the bones after having sucked them. Lucky sags slowly, until bag and baskettouch the ground, then straightens up with a start and begins to sag again.Rhythm of one sleeping on his feet.",1
52,"ESTRAGON:Personally, I wouldn't even know him if I saw him.",POZZO:You took me for him.,ESTRAGON:(recoiling before Pozzo). That's to say . . . you understand . . . the dusk . . . thestrain . . . waiting . . . I confess . . . I imagined . . . for a second . . .,POZZO:Waiting? So you were waiting for him?,VLADIMIR:Well you see—,VLADIMIR:Oh perhaps just a teeny weeny little bit.,1
53,VLADIMIR:We didn't intend any harm.,ESTRAGON:We meant well.,POZZO:The road is free to all.,VLADIMIR:That's how we looked at it.,POZZO:It's a disgrace. But there you are.,ESTRAGON:(looking at the neck). I see nothing.,1
54,"POZZO:(with magnanimous gesture). Let's say no more about it. (He jerks the rope.) Uppig! (Pause.) Every time he drops he falls asleep. (Jerks the rope.) Up hog! (Noiseof Lucky getting up and picking up his baggage. Pozzo jerks the rope.) Back!(Enter Lucky backwards.) Stop! (Lucky stops.) Turn! (Lucky turns. To Vladimirand Estragon, affably.) Gentlemen, I am happy to have met you. (Before theirincredulous expression.) Yes yes, sincerely happy. (He jerks the rope.) Closer!(Lucky advances.) Stop! (Lucky stops.) Yes, the road seems long when onejourneys all alone for . . . (he consults his watch) . . . yes . . . (he calculates) . . .yes, six hours, that's right, six hours on end, and never a soul in sight. (To Lucky.)Coat! (Lucky puts down the bag, advances, gives the coat, goes back to his place,takes up the bag.) Hold that! (Pozzo holds out the whip. Lucky advances and, bothhis hands being occupied, takes the whip in his mouth, then goes back to hisplace. Pozzo begins to put on his coat, stops.) Coat! (Lucky puts down the bag,basket and stool, helps Pozzo on with his coat, goes back to his place and takes upbag, basket and stool.) Touch of autumn in the air this evening. (Pozzo finishesbuttoning up his coat, stoops, inspects himself, straightens up.) Whip! (Luckyadvances, stoops, Pozzo snatches the whip from his mouth, Lucky goes back to hisplace.) Yes, gentlemen, I cannot go for long without the society of my likes (heputs on his glasses and looks at the two likes) even when the likeness is animperfect one. (He takes off his glasses.) Stool! (Lucky puts down bag and basket,advances, opens stool, puts it down, goes back to his place, takes up bag andbasket.) Closer! (Lucky puts down bag and basket, advances, moves stool, goesback to his place, takes up bag and basket. Pozzo sits down, places the butt of hiswhip against Lucky's chest and pushes.) Back! (Lucky takes a step back.) Further!(Lucky takes another step back.) Stop! (Lucky stops. To Vladimir and Estragon.)That is why, with your permission, I propose to dally with you a moment, before Iventure any further. Basket! (Lucky advances, gives the basket, goes back to hisplace.) The fresh air stimulates the jaded appetite. (He opens the basket, takes outa piece of chicken and a bottle of wine.) Basket! (Lucky advances, picks up thebasket and goes back to his place.) Further! (Lucky takes a step back.) He stinks.Happy days!He drinks from the bottle, puts it down and begins to eat. Silence. #Vladimir and Estragon, cautiously at first, then more boldly, begin to circle aboutLucky, inspecting him up and down. Pozzo eats his chicken voraciously, throwingaway the bones after having sucked them. Lucky sags slowly, until bag and baskettouch the ground, then straightens up with a start and begins to sag again.Rhythm of one sleeping on his feet.",ESTRAGON:What ails him?,VLADIMIR:He looks tired.,ESTRAGON:Why doesn't he put down his bags?,VLADIMIR:How do I know? (They close in on him.) Careful!,ESTRAGON:A cretin.,1
55,VLADIMIR:Look!,ESTRAGON:What?,VLADIMIR:(pointing). His neck!,ESTRAGON:(looking at the neck). I see nothing.,VLADIMIR:Here.Estragon goes over beside Vladimir.,"ESTRAGON:(forcibly). Bags. (He points at Lucky.) Why? Always hold. (He sags, panting.)Never put down. (He opens his hands, straightens up with relief.) Why?",1
56,VLADIMIR:A running sore!,ESTRAGON:It's the rope.,VLADIMIR:It's the rubbing.,ESTRAGON:It's inevitable.,ESTRAGON:You gave me a fright.,VLADIMIR:It's the knot.,2
57,VLADIMIR:(grudgingly). He's not bad looking.,"ESTRAGON:(shrugging his shoulders, wry face.) Would you say so?",VLADIMIR:A trifle effeminate.,ESTRAGON:Look at the slobber.,"POZZO:Old dogs have more dignity. (He proffers his handkerchief to Estragon.) Comforthim, since you pity him. (Estragon hesitates.) Come on. (Estragon takes thehandkerchief.) Wipe away his tears, he'll feel less forsaken.Estragon hesitates.",VLADIMIR:It's inevitable.,2
58,VLADIMIR:Perhaps he's a halfwit.,ESTRAGON:A cretin.,VLADIMIR:(looking closer). Looks like a goiter.,ESTRAGON:(ditto). It's not certain.,VLADIMIR:He's panting.,ESTRAGON:Good idea.,1
59,VLADIMIR:And his eyes!,ESTRAGON:What about them?,VLADIMIR:Goggling out of his head. #,ESTRAGON:Looks like his last gasp to me.,VLADIMIR:Show me.ESTRAGON:There's nothing to show.,VLADIMIR:It's not certain. (Pause.) Ask him a question.,2
60,VLADIMIR:What do we risk?,ESTRAGON:(timidly). Mister . . .,VLADIMIR:Louder.,ESTRAGON:(louder). Mister . . .,ESTRAGON:I dreamt that—,"POZZO:Leave him in peace! (They turn toward Pozzo who, having finished eating, wipeshis mouth with the back of his hand.) Can't you see he wants to rest? Basket! (Hestrikes a match and begins to light his pipe. Estragon sees the chicken bones onthe ground and stares at them greedily. As Lucky does not move Pozzo throws thematch angrily away and jerks the rope.) Basket! (Lucky starts, almost falls,recovers his senses, advances, puts the bottle in the basket and goes back to hisplace. Estragon stares at the bones. Pozzo strikes another match and lights hispipe.) What can you expect, it's not his job. (He pulls at his pipe, stretches out hislegs.) Ah! That's better.",2
61,"POZZO:What is it, my good man?","ESTRAGON:Er . . . you've finished with the . . . er . . . you don't need the . . . er . . . bones, Sir?",VLADIMIR:(scandalized). You couldn't have waited?,"POZZO:No no, he does well to ask. Do I need the bones? (He turns them over with the endof his whip.) No, personally I do not need them any more. (Estragon takes a steptowards the bones.) But . . . (Estragon stops short) . . . but in theory the bones goto the carrier. He is therefore the one to ask. (Estragon turns towards Lucky,hesitates.) Go on, go on, don't be afraid, ask him, he'll tell you.Estragon goes towards Lucky, stops before him.",ESTRAGON:(circling about Lucky). What?,"ESTRAGON:Mister . . . excuse me, Mister . . .",2
