random_idx,input_sentence1,input_sentence2,input_sentence3,input_sentence4,candidate_sentence1,candidate_sentence2,label
405572,"Mary is fiftyfour, about medium height She still has a young, graceful figure, a tnfie plump, but showing little evidence of middleaged waist and hips, although she is not tightly corseted Her face is distinctly Irish in type. It must once have been extremely pretty, and is still striking It does not match her healthy figure but is thin and pale with the bone structure prominent Her nose is long and straight, her mouth wide with full, sensitive lips. She uses no rouge or any sort of makeup Her high forehead is framed by thick, pure white hair. Accentuated by her pallor and white hair, her dark brown eyes appear black. They are unusually large and beautiful, with black brows and long curling lashes. ",What strikes one immediately is her extreme nervousness. ,"Her hands are never still. They were once beautiful hands, with long, tapenng fingers, but rheumatism has knotted the joints and warped the fingers, so that now they have an ugly crippled look. One avoids looking at them, the more so became one u consmus she is sensitive about their appearance and humxhated by her inability to control the nervousness which draws attention to them. ","She is dressed simply but with a sure sense of what bedurmtu^ her. Her hair is arranged with fastidious care. Her voice is soft cmd attractive. When she is merry, there is a touch of ",Irish hit in ih ,"JAMIE {grins loosely). Sure — with the Old Master, John ",1
623269,What strikes one immediately is her extreme nervousness. ,"Her hands are never still. They were once beautiful hands, with long, tapenng fingers, but rheumatism has knotted the joints and warped the fingers, so that now they have an ugly crippled look. One avoids looking at them, the more so became one u consmus she is sensitive about their appearance and humxhated by her inability to control the nervousness which draws attention to them. ","She is dressed simply but with a sure sense of what bedurmtu^ her. Her hair is arranged with fastidious care. Her voice is soft cmd attractive. When she is merry, there is a touch of ",Irish hit in ih ,Her most appealing quality is the simple^ unaffected charm of a shy conventgirl youthfulness she has never lost •— an innate unworldly innocence. ,"I see — {Hurriedly ) Well, you’ll explain aU about it when you see him this afternoon Yes, he’ll be in without fail ",1
14600,"Her hands are never still. They were once beautiful hands, with long, tapenng fingers, but rheumatism has knotted the joints and warped the fingers, so that now they have an ugly crippled look. One avoids looking at them, the more so became one u consmus she is sensitive about their appearance and humxhated by her inability to control the nervousness which draws attention to them. ","She is dressed simply but with a sure sense of what bedurmtu^ her. Her hair is arranged with fastidious care. Her voice is soft cmd attractive. When she is merry, there is a touch of ",Irish hit in ih ,Her most appealing quality is the simple^ unaffected charm of a shy conventgirl youthfulness she has never lost •— an innate unworldly innocence. ,James Tyrone is sixtyfive but looks ten years younger. ,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,1
206506,"She is dressed simply but with a sure sense of what bedurmtu^ her. Her hair is arranged with fastidious care. Her voice is soft cmd attractive. When she is merry, there is a touch of ",Irish hit in ih ,Her most appealing quality is the simple^ unaffected charm of a shy conventgirl youthfulness she has never lost •— an innate unworldly innocence. ,James Tyrone is sixtyfive but looks ten years younger. ,About five feet eighty broadshouldered and deepchestedy he seems taller and slenderer because of his beanngy which has a soldierly quality of head upy chest outy stomach lUy shoulders squared. His face has begun to break down but he is still remarkably goodlooking — a bigy finely shaped heady a handsome profiky deepset lightbrown eyes. His grey hair ,"TYRONE {mth Irish blarney). Your eyes are beautiful, and well you know it. ",1
764353,Irish hit in ih ,Her most appealing quality is the simple^ unaffected charm of a shy conventgirl youthfulness she has never lost •— an innate unworldly innocence. ,James Tyrone is sixtyfive but looks ten years younger. ,About five feet eighty broadshouldered and deepchestedy he seems taller and slenderer because of his beanngy which has a soldierly quality of head upy chest outy stomach lUy shoulders squared. His face has begun to break down but he is still remarkably goodlooking — a bigy finely shaped heady a handsome profiky deepset lightbrown eyes. His grey hair ,IS thin with a bald spot like a monk^s tonsure. ,"I’m on my way up to cliange, too {He starts to pass him.) ",1
529355,Her most appealing quality is the simple^ unaffected charm of a shy conventgirl youthfulness she has never lost •— an innate unworldly innocence. ,James Tyrone is sixtyfive but looks ten years younger. ,About five feet eighty broadshouldered and deepchestedy he seems taller and slenderer because of his beanngy which has a soldierly quality of head upy chest outy stomach lUy shoulders squared. His face has begun to break down but he is still remarkably goodlooking — a bigy finely shaped heady a handsome profiky deepset lightbrown eyes. His grey hair ,IS thin with a bald spot like a monk^s tonsure. ,"{He goes out on the porch. She waits rigidly until he disappears down the steps. Then she sinks down in the chair he had occupied, her face betraying a frightened, furtive desperation, her hands roving over the table top, aimlessly moving objects around. She hears ",The stamp of his profession is unmistakably on him Not that he indulges in any of the deliberate temperamental posturings of the stage star He is by nature and preference a simplCy unpretentious many whose inclinations are still close to his humble beginnings and his Irish farmer forebears. But the actor shows in all his unconsaous habits of speechy movement and gesture These have the quality of belonging to a studied technique His voice is remarkably finCy resonant and flexiblcy and he takes great pnde in it. ,2
550722,James Tyrone is sixtyfive but looks ten years younger. ,About five feet eighty broadshouldered and deepchestedy he seems taller and slenderer because of his beanngy which has a soldierly quality of head upy chest outy stomach lUy shoulders squared. His face has begun to break down but he is still remarkably goodlooking — a bigy finely shaped heady a handsome profiky deepset lightbrown eyes. His grey hair ,IS thin with a bald spot like a monk^s tonsure. ,The stamp of his profession is unmistakably on him Not that he indulges in any of the deliberate temperamental posturings of the stage star He is by nature and preference a simplCy unpretentious many whose inclinations are still close to his humble beginnings and his Irish farmer forebears. But the actor shows in all his unconsaous habits of speechy movement and gesture These have the quality of belonging to a studied technique His voice is remarkably finCy resonant and flexiblcy and he takes great pnde in it. ,TYRONE. Never heard of him. ,His clotheSy assuredly y do not costume any romantic part. ,2
164562,About five feet eighty broadshouldered and deepchestedy he seems taller and slenderer because of his beanngy which has a soldierly quality of head upy chest outy stomach lUy shoulders squared. His face has begun to break down but he is still remarkably goodlooking — a bigy finely shaped heady a handsome profiky deepset lightbrown eyes. His grey hair ,IS thin with a bald spot like a monk^s tonsure. ,The stamp of his profession is unmistakably on him Not that he indulges in any of the deliberate temperamental posturings of the stage star He is by nature and preference a simplCy unpretentious many whose inclinations are still close to his humble beginnings and his Irish farmer forebears. But the actor shows in all his unconsaous habits of speechy movement and gesture These have the quality of belonging to a studied technique His voice is remarkably finCy resonant and flexiblcy and he takes great pnde in it. ,His clotheSy assuredly y do not costume any romantic part. ,"EDMUND {dully). What did he say? Not that I give a damn now. swore on a stack of Bibles You mustn’t pay attention to a word he says, Edmund. ",He wears a threadbarey readymadCy grey sack suit and shineless black shoeSy a collarless shirt with a thick white handkerchief knotted loosely around his throat There is nothing picturesquely careless about this getup. It is commonplace shabby. He believes zn wearing his clothes to the limit of usefulnessy is dressed now for gardemngy and doesrit give a damn how he looks. ,2
547883,IS thin with a bald spot like a monk^s tonsure. ,The stamp of his profession is unmistakably on him Not that he indulges in any of the deliberate temperamental posturings of the stage star He is by nature and preference a simplCy unpretentious many whose inclinations are still close to his humble beginnings and his Irish farmer forebears. But the actor shows in all his unconsaous habits of speechy movement and gesture These have the quality of belonging to a studied technique His voice is remarkably finCy resonant and flexiblcy and he takes great pnde in it. ,His clotheSy assuredly y do not costume any romantic part. ,He wears a threadbarey readymadCy grey sack suit and shineless black shoeSy a collarless shirt with a thick white handkerchief knotted loosely around his throat There is nothing picturesquely careless about this getup. It is commonplace shabby. He believes zn wearing his clothes to the limit of usefulnessy is dressed now for gardemngy and doesrit give a damn how he looks. ,"EDMUND {bitterly). Yes, your one generosity, and that because you were jealous of her paying too much attention to us, and wanted us out of your way* It was another mistake, too* If she’d had to take care of me all by herself, and had that to occupy her mind, maybe she’d have been able — ",He has never been really sick a day in his life. He has no nerves. There is a lot of stolidy earthy peasant in himy mixed with streaks of sentimental melancholy and rare flashes of intuitive sensibility. ,2
76951,The stamp of his profession is unmistakably on him Not that he indulges in any of the deliberate temperamental posturings of the stage star He is by nature and preference a simplCy unpretentious many whose inclinations are still close to his humble beginnings and his Irish farmer forebears. But the actor shows in all his unconsaous habits of speechy movement and gesture These have the quality of belonging to a studied technique His voice is remarkably finCy resonant and flexiblcy and he takes great pnde in it. ,His clotheSy assuredly y do not costume any romantic part. ,He wears a threadbarey readymadCy grey sack suit and shineless black shoeSy a collarless shirt with a thick white handkerchief knotted loosely around his throat There is nothing picturesquely careless about this getup. It is commonplace shabby. He believes zn wearing his clothes to the limit of usefulnessy is dressed now for gardemngy and doesrit give a damn how he looks. ,He has never been really sick a day in his life. He has no nerves. There is a lot of stolidy earthy peasant in himy mixed with streaks of sentimental melancholy and rare flashes of intuitive sensibility. ,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,God’s saike try and be yourself— at least until he goes! ,1
26317,His clotheSy assuredly y do not costume any romantic part. ,He wears a threadbarey readymadCy grey sack suit and shineless black shoeSy a collarless shirt with a thick white handkerchief knotted loosely around his throat There is nothing picturesquely careless about this getup. It is commonplace shabby. He believes zn wearing his clothes to the limit of usefulnessy is dressed now for gardemngy and doesrit give a damn how he looks. ,He has never been really sick a day in his life. He has no nerves. There is a lot of stolidy earthy peasant in himy mixed with streaks of sentimental melancholy and rare flashes of intuitive sensibility. ,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,"TYRONE. You’re a fine armful now, Mary, with those twenty pounds you’ve gamed. ","EDMUND [reaches out and pats his arm). I know that, ",1
254050,He wears a threadbarey readymadCy grey sack suit and shineless black shoeSy a collarless shirt with a thick white handkerchief knotted loosely around his throat There is nothing picturesquely careless about this getup. It is commonplace shabby. He believes zn wearing his clothes to the limit of usefulnessy is dressed now for gardemngy and doesrit give a damn how he looks. ,He has never been really sick a day in his life. He has no nerves. There is a lot of stolidy earthy peasant in himy mixed with streaks of sentimental melancholy and rare flashes of intuitive sensibility. ,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,"TYRONE. You’re a fine armful now, Mary, with those twenty pounds you’ve gamed. ","MARY {smiles qffecUonaUly). I’ve gotten too fat, you mean, dear. I really ought to reduce. ",{He walks slowly to where she stands in the doorwcqy He walks like an old man. As he reaches her she bursts out piteously ) ,1
373000,He has never been really sick a day in his life. He has no nerves. There is a lot of stolidy earthy peasant in himy mixed with streaks of sentimental melancholy and rare flashes of intuitive sensibility. ,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,"TYRONE. You’re a fine armful now, Mary, with those twenty pounds you’ve gamed. ","MARY {smiles qffecUonaUly). I’ve gotten too fat, you mean, dear. I really ought to reduce. ",He avoids her eyes. There is a tense pause. Then she speaks jeenn^y.) Or are you afraid to trust me alone? ,"TYRONE. None of that, my lady' You’re just right ",2
313348,^ Tyrones arm u around his wife^s waist as they appear from the back parlour. Entering the livingroom he gives her a playful hug. ,"TYRONE. You’re a fine armful now, Mary, with those twenty pounds you’ve gamed. ","MARY {smiles qffecUonaUly). I’ve gotten too fat, you mean, dear. I really ought to reduce. ","TYRONE. None of that, my lady' You’re just right ",We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,TYRONE. I’m not blaming her. ,1
694468,"TYRONE. You’re a fine armful now, Mary, with those twenty pounds you’ve gamed. ","MARY {smiles qffecUonaUly). I’ve gotten too fat, you mean, dear. I really ought to reduce. ","TYRONE. None of that, my lady' You’re just right ",We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,"MARY. So httle""* I thought I ate a lot. ",It’s got me! ,1
383279,"MARY {smiles qffecUonaUly). I’ve gotten too fat, you mean, dear. I really ought to reduce. ","TYRONE. None of that, my lady' You’re just right ",We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,"MARY. So httle""* I thought I ate a lot. ","TYRONE You didn’t. Not as much as I’d hkc to see, anyway. ",EDMUND. I waited until they went out I don’t want to mix up in any arguments. I feel too rotten. ,1
772247,"TYRONE. None of that, my lady' You’re just right ",We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,"MARY. So httle""* I thought I ate a lot. ","TYRONE You didn’t. Not as much as I’d hkc to see, anyway. ",MARY {teasinglj). Oh you' You expect everyone to eat the enormous breakfast you do. No one else m the world could without dying of mdigestion. {She comes forward to stand by the right of table.) ,“Look in my face. My name is MightHaveBeen; ,1
965811,We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,"MARY. So httle""* I thought I ate a lot. ","TYRONE You didn’t. Not as much as I’d hkc to see, anyway. ",MARY {teasinglj). Oh you' You expect everyone to eat the enormous breakfast you do. No one else m the world could without dying of mdigestion. {She comes forward to stand by the right of table.) ,"TYRONE (following her). I hope I’m not as big a glutton as that sounds. {With hearty satisfaction.) But thank God, ",{Tyrone comes in through the front parlour Edmund is behind him. Tyrone has had a lot to dnnk but beyond a slightly glazed look in his eyes and a trace of blur in his speech^ he does not show it. Edmund has also had more than a few dnnks without much apparent effect^ except that his sunken cheeks are fushed and kts eyes look bright and feverish. Th^ stop in the doorway to stare appraisingly at her What th^ see fulfils their worst expectations. But for the moment ,1
434675,"MARY. So httle""* I thought I ate a lot. ","TYRONE You didn’t. Not as much as I’d hkc to see, anyway. ",MARY {teasinglj). Oh you' You expect everyone to eat the enormous breakfast you do. No one else m the world could without dying of mdigestion. {She comes forward to stand by the right of table.) ,"TYRONE (following her). I hope I’m not as big a glutton as that sounds. {With hearty satisfaction.) But thank God, ","I’ve kept my appetite and I’ve the digestion of a young man of twenty, if I am sixtyfive. ",He makes you beg and plead' He treats you hke a cnimnal! He understands nothing' And yet it was exactly the same type of cheap quack who first gave you the medicine— and you never knew what it was until too late' ,1
270357,"TYRONE You didn’t. Not as much as I’d hkc to see, anyway. ",MARY {teasinglj). Oh you' You expect everyone to eat the enormous breakfast you do. No one else m the world could without dying of mdigestion. {She comes forward to stand by the right of table.) ,"TYRONE (following her). I hope I’m not as big a glutton as that sounds. {With hearty satisfaction.) But thank God, ","I’ve kept my appetite and I’ve the digestion of a young man of twenty, if I am sixtyfive. ","MARY. You surely have, James. No one could deny that. ",JAMIE {cfier a pause). What did Doc Hardy say about the Kid? ,1
644252,MARY {teasinglj). Oh you' You expect everyone to eat the enormous breakfast you do. No one else m the world could without dying of mdigestion. {She comes forward to stand by the right of table.) ,"TYRONE (following her). I hope I’m not as big a glutton as that sounds. {With hearty satisfaction.) But thank God, ","I’ve kept my appetite and I’ve the digestion of a young man of twenty, if I am sixtyfive. ","MARY. You surely have, James. No one could deny that. ","Now, now, Mary That’s your imagination. If I’ve watched you it was to admire how fat and beautiful you looked. (His voice is suddenly moved by deep feeling ) I can’t tell you the deep happiness it gives me, darling, to see you as you’ve been smce you came back to us, your dear old self again. (He leans over and kisses her cheek impulsively — then turning back adds with a constrained air.) So keep up the good work, Mary. ",{She laughs and sits in Ihe wicker armchair at right rear of table. He comes around behind her and selects a agar from a box on the table and cuts off the end with a little clipper. From the dimngroom Jamie’s and ,2
892739,"TYRONE (following her). I hope I’m not as big a glutton as that sounds. {With hearty satisfaction.) But thank God, ","I’ve kept my appetite and I’ve the digestion of a young man of twenty, if I am sixtyfive. ","MARY. You surely have, James. No one could deny that. ",{She laughs and sits in Ihe wicker armchair at right rear of table. He comes around behind her and selects a agar from a box on the table and cuts off the end with a little clipper. From the dimngroom Jamie’s and ,Edmund’s voices are heard. Mary turns her head that way.) ,"EDMUND {bitterly). Yes, your one generosity, and that because you were jealous of her paying too much attention to us, and wanted us out of your way* It was another mistake, too* If she’d had to take care of me all by herself, and had that to occupy her mind, maybe she’d have been able — ",1
987752,"I’ve kept my appetite and I’ve the digestion of a young man of twenty, if I am sixtyfive. ","MARY. You surely have, James. No one could deny that. ",{She laughs and sits in Ihe wicker armchair at right rear of table. He comes around behind her and selects a agar from a box on the table and cuts off the end with a little clipper. From the dimngroom Jamie’s and ,Edmund’s voices are heard. Mary turns her head that way.) ,"Why did the boys stay in the diningroom, I wonder? ","JAMIE I heard him, too {He quotes, putting on a hamactor mcamer.) “The Moor, I know his trumpet.” ",1
916822,"MARY. You surely have, James. No one could deny that. ",{She laughs and sits in Ihe wicker armchair at right rear of table. He comes around behind her and selects a agar from a box on the table and cuts off the end with a little clipper. From the dimngroom Jamie’s and ,Edmund’s voices are heard. Mary turns her head that way.) ,"Why did the boys stay in the diningroom, I wonder? ",She should have more respect. ,Cathleen must be waiting to clear the table. ,2
530909,{She laughs and sits in Ihe wicker armchair at right rear of table. He comes around behind her and selects a agar from a box on the table and cuts off the end with a little clipper. From the dimngroom Jamie’s and ,Edmund’s voices are heard. Mary turns her head that way.) ,"Why did the boys stay in the diningroom, I wonder? ",Cathleen must be waiting to clear the table. ,"TYRONE {jokingly but with an undercurrent of resentment) . a secret confab they don’t want me to hear, I suppose. I’ll bet they’re cooking up some new scheme to touch the Old ",We’ll have no talk of reducing. Is that why you ate so httle breakfast'* ,1
974565,Edmund’s voices are heard. Mary turns her head that way.) ,"Why did the boys stay in the diningroom, I wonder? ",Cathleen must be waiting to clear the table. ,"TYRONE {jokingly but with an undercurrent of resentment) . a secret confab they don’t want me to hear, I suppose. I’ll bet they’re cooking up some new scheme to touch the Old ","JAMIE Don’t start jumping down my throat! God, ",Man. ,2
631557,"Why did the boys stay in the diningroom, I wonder? ",Cathleen must be waiting to clear the table. ,"TYRONE {jokingly but with an undercurrent of resentment) . a secret confab they don’t want me to hear, I suppose. I’ll bet they’re cooking up some new scheme to touch the Old ",Man. ,"{She u silent on this, keeping her head turned toward their voices. Her hands appear on the table top, moving restlessly. He lights his agar and sits down in the rocker at right of table, which is his chair, and puffs contentedly.) ","TYRONE {decides to ignore this) . He’s been doing well on the paper I was hoping he’d found the work he wants to do at last. * jAim. {sneering jealously again). A hick town rag' Whatever bull they hand you, they tell me he’s a pretty bum reporter. If he weren’t your son — {Ashamed again ) No, that’s not true' They’re glad to have him, but it’s the speaal stuff that gets him by. Some of the poems and parodies he’s written are damned good. {Grudgingly again.) ",1
621103,Cathleen must be waiting to clear the table. ,"TYRONE {jokingly but with an undercurrent of resentment) . a secret confab they don’t want me to hear, I suppose. I’ll bet they’re cooking up some new scheme to touch the Old ",Man. ,"{She u silent on this, keeping her head turned toward their voices. Her hands appear on the table top, moving restlessly. He lights his agar and sits down in the rocker at right of table, which is his chair, and puffs contentedly.) ","There’s nothing hke the first afierbreakfast dgar, if it’s a good one, and this new lot have the nght mellow flavour. ",She should have more respect. ,1
