random_idx,input_sentence1,input_sentence2,input_sentence3,input_sentence4,candidate_sentence1,candidate_sentence2,label
235649,"a gray flannel shirt open at the neck, and a soft, mud-stained hat","pushed back on his head. He stops to talk to_ ROBERT, _leaning on the",hoe he carries_.,ANDREW. (_seeing_ ROBERT _has not noticed his presence--in a loud,"lap_) Dolly, Mama! Dolly!","shout_) Hey there! (ROBERT _turns with a start. Seeing who it is, he",2
562659,"pushed back on his head. He stops to talk to_ ROBERT, _leaning on the",hoe he carries_.,ANDREW. (_seeing_ ROBERT _has not noticed his presence--in a loud,"shout_) Hey there! (ROBERT _turns with a start. Seeing who it is, he","smiles_) Gosh, you do take the prize for daydreaming! And I see you’ve","has risen_) Won’t you be still, James? Please won’t you?",1
897906,hoe he carries_.,ANDREW. (_seeing_ ROBERT _has not noticed his presence--in a loud,"shout_) Hey there! (ROBERT _turns with a start. Seeing who it is, he","smiles_) Gosh, you do take the prize for daydreaming! And I see you’ve","quickly and, without looking at_ ROBERT, _comes and takes_ MARY’S",toted one of the old books along with you. (_He crosses the ditch and,2
475866,ANDREW. (_seeing_ ROBERT _has not noticed his presence--in a loud,"shout_) Hey there! (ROBERT _turns with a start. Seeing who it is, he","smiles_) Gosh, you do take the prize for daydreaming! And I see you’ve",toted one of the old books along with you. (_He crosses the ditch and,"sits on the fence near his brother_) What is it this time--poetry, I’ll","top-side here; but I’d have guessed it, anyway. (_He digs his brother in",1
303551,"shout_) Hey there! (ROBERT _turns with a start. Seeing who it is, he","smiles_) Gosh, you do take the prize for daydreaming! And I see you’ve",toted one of the old books along with you. (_He crosses the ditch and,"sits on the fence near his brother_) What is it this time--poetry, I’ll",Dolly now.,bet. (_He reaches for the book_) Let me see.,2
607143,"smiles_) Gosh, you do take the prize for daydreaming! And I see you’ve",toted one of the old books along with you. (_He crosses the ditch and,"sits on the fence near his brother_) What is it this time--poetry, I’ll",bet. (_He reaches for the book_) Let me see.,ROBERT. (_handing it to him rather reluctantly_) Look out you don’t get,"continues. The man and woman stand looking at one another in horror, the",1
942782,toted one of the old books along with you. (_He crosses the ditch and,"sits on the fence near his brother_) What is it this time--poetry, I’ll",bet. (_He reaches for the book_) Let me see.,ROBERT. (_handing it to him rather reluctantly_) Look out you don’t get,"farm. You don’t mind, do you?",it full of dirt.,2
457171,"sits on the fence near his brother_) What is it this time--poetry, I’ll",bet. (_He reaches for the book_) Let me see.,ROBERT. (_handing it to him rather reluctantly_) Look out you don’t get,it full of dirt.,"almost, doesn’t it?",ANDREW. (_glancing at his hands_) That isn’t dirt--it’s good clean,2
871439,bet. (_He reaches for the book_) Let me see.,ROBERT. (_handing it to him rather reluctantly_) Look out you don’t get,it full of dirt.,ANDREW. (_glancing at his hands_) That isn’t dirt--it’s good clean,earth. (_He turns over the pages. His eyes read something and he gives,ANDREW. (_losing his temper--bitterly_) I suppose it’d be hard for you,1
704364,ROBERT. (_handing it to him rather reluctantly_) Look out you don’t get,it full of dirt.,ANDREW. (_glancing at his hands_) That isn’t dirt--it’s good clean,earth. (_He turns over the pages. His eyes read something and he gives,an exclamation of disgust_) Hump! (_With a provoking grin at his brother,ANDREW. (_resentfully_) Rob’s too good a chum to try and stop me when he,1
618794,it full of dirt.,ANDREW. (_glancing at his hands_) That isn’t dirt--it’s good clean,earth. (_He turns over the pages. His eyes read something and he gives,an exclamation of disgust_) Hump! (_With a provoking grin at his brother,"he reads aloud in a doleful, sing-song voice_) “I have loved wind and","RUTH. (_without feeling_) I don’t hate you. It’s been my fault too, I",1
748161,ANDREW. (_glancing at his hands_) That isn’t dirt--it’s good clean,earth. (_He turns over the pages. His eyes read something and he gives,an exclamation of disgust_) Hump! (_With a provoking grin at his brother,"he reads aloud in a doleful, sing-song voice_) “I have loved wind and","propping her doll up against the tree, comes over and clambers to his","light and the bright sea. But holy and most sacred night, not as I love",2
727626,earth. (_He turns over the pages. His eyes read something and he gives,an exclamation of disgust_) Hump! (_With a provoking grin at his brother,"he reads aloud in a doleful, sing-song voice_) “I have loved wind and","light and the bright sea. But holy and most sacred night, not as I love",and have loved thee.” (_He hands the book back_) Here! Take it and bury,up. (_As_ ANDREW _hesitates--violently_) I swear I’ll get out of bed,1
972999,an exclamation of disgust_) Hump! (_With a provoking grin at his brother,"he reads aloud in a doleful, sing-song voice_) “I have loved wind and","light and the bright sea. But holy and most sacred night, not as I love",and have loved thee.” (_He hands the book back_) Here! Take it and bury,it. I suppose it’s that year in college gave you a liking for that kind,"MARY. (_decidedly_) Yes, Dada.",1
330896,"he reads aloud in a doleful, sing-song voice_) “I have loved wind and","light and the bright sea. But holy and most sacred night, not as I love",and have loved thee.” (_He hands the book back_) Here! Take it and bury,it. I suppose it’s that year in college gave you a liking for that kind,"of stuff. I’m darn glad I stopped at High School, or maybe I’d been",RUTH. (_evasively_) Of course. It’s mean of you to think that any of us,1
846959,"light and the bright sea. But holy and most sacred night, not as I love",and have loved thee.” (_He hands the book back_) Here! Take it and bury,it. I suppose it’s that year in college gave you a liking for that kind,"of stuff. I’m darn glad I stopped at High School, or maybe I’d been",one year old!,crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),2
15696,and have loved thee.” (_He hands the book back_) Here! Take it and bury,it. I suppose it’s that year in college gave you a liking for that kind,"of stuff. I’m darn glad I stopped at High School, or maybe I’d been",crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),SCOTT. (_comes and slaps_ ANDREW _on the back_) I’m damned glad you’re,Imagine me reading poetry and plowing at the same time! The team’d run,2
605332,it. I suppose it’s that year in college gave you a liking for that kind,"of stuff. I’m darn glad I stopped at High School, or maybe I’d been",crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),Imagine me reading poetry and plowing at the same time! The team’d run,"away, I’ll bet.",lies there for a moment; then crawls with a great effort to the top of,1
689848,"of stuff. I’m darn glad I stopped at High School, or maybe I’d been",crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),Imagine me reading poetry and plowing at the same time! The team’d run,"away, I’ll bet.",ROBERT. (_laughing_) Or picture me plowing.,"RUTH. (_glancing at him--fearfully_) He’s out of his mind now, isn’t he?",1
19318,crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),Imagine me reading poetry and plowing at the same time! The team’d run,"away, I’ll bet.",ROBERT. (_laughing_) Or picture me plowing.,"ANDREW. You should have gone back to college last fall, like I know you",MAYO. (_after a pause--frowning_) I hope her and Andy ain’t had a,1
511425,Imagine me reading poetry and plowing at the same time! The team’d run,"away, I’ll bet.",ROBERT. (_laughing_) Or picture me plowing.,"ANDREW. You should have gone back to college last fall, like I know you",wanted to. You’re fitted for that sort of thing--just as I ain’t.,now--pasturin’ the cattle in the cornlot? Is he seasonin’ his hay with,1
523932,"away, I’ll bet.",ROBERT. (_laughing_) Or picture me plowing.,"ANDREW. You should have gone back to college last fall, like I know you",wanted to. You’re fitted for that sort of thing--just as I ain’t.,"ANDREW. Why, I thought I told you everything in my letters.","ROBERT. You know why I didn’t go back, Andy. Pa didn’t like the idea,",2
831628,ROBERT. (_laughing_) Or picture me plowing.,"ANDREW. You should have gone back to college last fall, like I know you",wanted to. You’re fitted for that sort of thing--just as I ain’t.,"ROBERT. You know why I didn’t go back, Andy. Pa didn’t like the idea,",RUTH. Here. The first one’s on top.,even if he didn’t say so; and I know he wanted the money to use,2
661370,"ANDREW. You should have gone back to college last fall, like I know you",wanted to. You’re fitted for that sort of thing--just as I ain’t.,"ROBERT. You know why I didn’t go back, Andy. Pa didn’t like the idea,",even if he didn’t say so; and I know he wanted the money to use,"improving the farm. And besides, I’m not keen on being a student, just",ANDREW. I’m proud enough of the first four years. It’s after that I’m,1
867536,wanted to. You’re fitted for that sort of thing--just as I ain’t.,"ROBERT. You know why I didn’t go back, Andy. Pa didn’t like the idea,",even if he didn’t say so; and I know he wanted the money to use,"improving the farm. And besides, I’m not keen on being a student, just",because you see me reading books all the time. What I want to do now is,crazy too. (_He grins and slaps_ ROBERT _on the back affectionately_),1
329485,"ROBERT. You know why I didn’t go back, Andy. Pa didn’t like the idea,",even if he didn’t say so; and I know he wanted the money to use,"improving the farm. And besides, I’m not keen on being a student, just",because you see me reading books all the time. What I want to do now is,keep on moving so that I won’t take root in any one place.,"wouldn’t help my health any. Come on, Andy. Don’t play the fool. I want",1
132299,even if he didn’t say so; and I know he wanted the money to use,"improving the farm. And besides, I’m not keen on being a student, just",because you see me reading books all the time. What I want to do now is,keep on moving so that I won’t take root in any one place.,Andy. This rotten headache has my nerves shot to pieces.,"ANDREW. Well, the trip you’re leaving on tomorrow will keep you moving",2
639324,"improving the farm. And besides, I’m not keen on being a student, just",because you see me reading books all the time. What I want to do now is,keep on moving so that I won’t take root in any one place.,"ANDREW. Well, the trip you’re leaving on tomorrow will keep you moving",ROBERT. (_with a smile_) I come up here now because it’s the coolest,all right. (_At this mention of the trip they both fall silent. There is,2
477428,because you see me reading books all the time. What I want to do now is,keep on moving so that I won’t take root in any one place.,"ANDREW. Well, the trip you’re leaving on tomorrow will keep you moving",all right. (_At this mention of the trip they both fall silent. There is,"a pause. Finally_ ANDREW _goes on, awkwardly, attempting to speak","you ever was or ever will be! You’re jealous, that’s what! Jealous",1
976567,keep on moving so that I won’t take root in any one place.,"ANDREW. Well, the trip you’re leaving on tomorrow will keep you moving",all right. (_At this mention of the trip they both fall silent. There is,"a pause. Finally_ ANDREW _goes on, awkwardly, attempting to speak","shoulder_) It’s no use fussing any more, Rob. It’s done. (_Forcing a",casually_) Uncle says you’ll be gone three years.,2
225319,"ANDREW. Well, the trip you’re leaving on tomorrow will keep you moving",all right. (_At this mention of the trip they both fall silent. There is,"a pause. Finally_ ANDREW _goes on, awkwardly, attempting to speak",casually_) Uncle says you’ll be gone three years.,right_).,"ROBERT. About that, he figures.",2
427754,all right. (_At this mention of the trip they both fall silent. There is,"a pause. Finally_ ANDREW _goes on, awkwardly, attempting to speak",casually_) Uncle says you’ll be gone three years.,"ROBERT. About that, he figures.",ANDREW. (_moodily_) That’s a long time.,"now, I wonder?",1
997849,"a pause. Finally_ ANDREW _goes on, awkwardly, attempting to speak",casually_) Uncle says you’ll be gone three years.,"ROBERT. About that, he figures.",ANDREW. (_moodily_) That’s a long time.,ROBERT. Not so long when you come to consider it. You know the _Sunda_,"your eyesight, Katey. Why, Robert ain’t got no time for Ruth, ’cept as a",1
911747,casually_) Uncle says you’ll be gone three years.,"ROBERT. About that, he figures.",ANDREW. (_moodily_) That’s a long time.,ROBERT. Not so long when you come to consider it. You know the _Sunda_,"sails around the Horn for Yokohama first, and that’s a long voyage on a",RUTH. It was Rob. He’s just been talking to me out here. I put him back,1
50182,"ROBERT. About that, he figures.",ANDREW. (_moodily_) That’s a long time.,ROBERT. Not so long when you come to consider it. You know the _Sunda_,"sails around the Horn for Yokohama first, and that’s a long voyage on a",RUTH. (_slowly and vindictively_) That’s just like him--not to.,sailing ship; and if we go to any of the other places Uncle Dick,2
39918,ANDREW. (_moodily_) That’s a long time.,ROBERT. Not so long when you come to consider it. You know the _Sunda_,"sails around the Horn for Yokohama first, and that’s a long voyage on a",sailing ship; and if we go to any of the other places Uncle Dick,"mentions--India, or Australia, or South Africa, or South",each other. It’ll be harder for me without anyone.,1
653513,ROBERT. Not so long when you come to consider it. You know the _Sunda_,"sails around the Horn for Yokohama first, and that’s a long voyage on a",sailing ship; and if we go to any of the other places Uncle Dick,"mentions--India, or Australia, or South Africa, or South","America--they’ll be long voyages, too.","Leave me alone, won’t you please?",1
733664,"sails around the Horn for Yokohama first, and that’s a long voyage on a",sailing ship; and if we go to any of the other places Uncle Dick,"mentions--India, or Australia, or South Africa, or South","America--they’ll be long voyages, too.",ANDREW. You can have all those foreign parts for all of me. (_After a,weakly_).,1
44952,sailing ship; and if we go to any of the other places Uncle Dick,"mentions--India, or Australia, or South Africa, or South","America--they’ll be long voyages, too.",ANDREW. You can have all those foreign parts for all of me. (_After a,to a rocker by the side of the table and sinks down in it exhausted_).,"pause_) Ma’s going to miss you a lot, Rob.",2
43654,"mentions--India, or Australia, or South Africa, or South","America--they’ll be long voyages, too.",ANDREW. You can have all those foreign parts for all of me. (_After a,"pause_) Ma’s going to miss you a lot, Rob.",fine-looking and strong. (_With a sigh_) Three years! It seems more like,ROBERT. Yes--and I’ll miss her.,2
766077,"America--they’ll be long voyages, too.",ANDREW. You can have all those foreign parts for all of me. (_After a,"pause_) Ma’s going to miss you a lot, Rob.",ROBERT. Yes--and I’ll miss her.,ANDREW. And Pa ain’t feeling none too happy to have you go--though he’s,ROBERT. (_smoothing_ MARY’S _hair--tenderly_) We’ll show Mama you’re a,1
352906,ANDREW. You can have all those foreign parts for all of me. (_After a,"pause_) Ma’s going to miss you a lot, Rob.",ROBERT. Yes--and I’ll miss her.,ANDREW. And Pa ain’t feeling none too happy to have you go--though he’s,"workin’ here for no hire, Andy, that you kin give me your notice to quit",been trying not to show it.,2
565031,"pause_) Ma’s going to miss you a lot, Rob.",ROBERT. Yes--and I’ll miss her.,ANDREW. And Pa ain’t feeling none too happy to have you go--though he’s,been trying not to show it.,ROBERT. (_with sudden anger_) Leave her alone! How often have I told you,ROBERT. I can see how he feels.,2
496588,ROBERT. Yes--and I’ll miss her.,ANDREW. And Pa ain’t feeling none too happy to have you go--though he’s,been trying not to show it.,ROBERT. I can see how he feels.,ROBERT. (_a trifle impatiently_) All of you seem to keep harping on my,ANDREW. And you can bet that I’m not giving any cheers about it. (_He,2
76185,ANDREW. And Pa ain’t feeling none too happy to have you go--though he’s,been trying not to show it.,ROBERT. I can see how he feels.,ANDREW. And you can bet that I’m not giving any cheers about it. (_He,puts one hand on the fence near_ ROBERT).,RUTH. (_mechanically_) Come and let me take off your shoes and,1
775862,been trying not to show it.,ROBERT. I can see how he feels.,ANDREW. And you can bet that I’m not giving any cheers about it. (_He,puts one hand on the fence near_ ROBERT).,RUTH. (_indignantly_) You won’t! I’ll never forget---- (_She stops and,ROBERT. (_putting one hand on top of_ ANDREW’S _with a gesture almost of,2
270596,ROBERT. I can see how he feels.,ANDREW. And you can bet that I’m not giving any cheers about it. (_He,puts one hand on the fence near_ ROBERT).,ROBERT. (_putting one hand on top of_ ANDREW’S _with a gesture almost of,"shyness_) I know that, too, Andy.",RUTH. (_wearily_) You oughtn’t to talk about him now when he’s sick in,1
627241,ANDREW. And you can bet that I’m not giving any cheers about it. (_He,puts one hand on the fence near_ ROBERT).,ROBERT. (_putting one hand on top of_ ANDREW’S _with a gesture almost of,"shyness_) I know that, too, Andy.","ANDREW. I’ll miss you as much as anybody, I guess. You see, you and I",ANDREW. (_resentfully_) Rob’s too good a chum to try and stop me when he,1
446042,puts one hand on the fence near_ ROBERT).,ROBERT. (_putting one hand on top of_ ANDREW’S _with a gesture almost of,"shyness_) I know that, too, Andy.","ANDREW. I’ll miss you as much as anybody, I guess. You see, you and I",He can’t have gone far! (_Grabbing his hat he takes_ RUTH’S _arm and,ain’t like most brothers--always fighting and separated a lot of the,2
195335,ROBERT. (_putting one hand on top of_ ANDREW’S _with a gesture almost of,"shyness_) I know that, too, Andy.","ANDREW. I’ll miss you as much as anybody, I guess. You see, you and I",ain’t like most brothers--always fighting and separated a lot of the,"time, while we’ve always been together--just the two of us. It’s",MRS. MAYO. James!,1
68774,"shyness_) I know that, too, Andy.","ANDREW. I’ll miss you as much as anybody, I guess. You see, you and I",ain’t like most brothers--always fighting and separated a lot of the,"time, while we’ve always been together--just the two of us. It’s","ship sailing there for quite a while, likely. Anyway, I want to stay to","different with us. That’s why it hits so hard, I guess.",2
147600,"ANDREW. I’ll miss you as much as anybody, I guess. You see, you and I",ain’t like most brothers--always fighting and separated a lot of the,"time, while we’ve always been together--just the two of us. It’s","different with us. That’s why it hits so hard, I guess.",had not been used in years. Blotches of dampness disfigure the wall,"ROBERT. (_with feeling_) It’s just as hard for me, Andy--believe that! I",2
966525,ain’t like most brothers--always fighting and separated a lot of the,"time, while we’ve always been together--just the two of us. It’s","different with us. That’s why it hits so hard, I guess.","ROBERT. (_with feeling_) It’s just as hard for me, Andy--believe that! I",and you can have all the sea you want by walking a mile down to the,hate to leave you and the old folks--but--I feel I’ve got to. There’s,2
976754,"time, while we’ve always been together--just the two of us. It’s","different with us. That’s why it hits so hard, I guess.","ROBERT. (_with feeling_) It’s just as hard for me, Andy--believe that! I",hate to leave you and the old folks--but--I feel I’ve got to. There’s,"something calling me---- (_He points to the horizon_) Oh, I can’t just",RUTH. It was Rob. He’s just been talking to me out here. I put him back,1
159043,"different with us. That’s why it hits so hard, I guess.","ROBERT. (_with feeling_) It’s just as hard for me, Andy--believe that! I",hate to leave you and the old folks--but--I feel I’ve got to. There’s,"something calling me---- (_He points to the horizon_) Oh, I can’t just","explain it to you, Andy.",(_He sinks down into his chair and smiles with bitter self-scorn_) There,1
744653,"ROBERT. (_with feeling_) It’s just as hard for me, Andy--believe that! I",hate to leave you and the old folks--but--I feel I’ve got to. There’s,"something calling me---- (_He points to the horizon_) Oh, I can’t just","explain it to you, Andy.",ANDREW. I don’t know. The things he said to me had truth in them--even,"ANDREW. No need to, Rob. (_Angry at himself_) Hell! You want to",2
338925,hate to leave you and the old folks--but--I feel I’ve got to. There’s,"something calling me---- (_He points to the horizon_) Oh, I can’t just","explain it to you, Andy.","ANDREW. No need to, Rob. (_Angry at himself_) Hell! You want to","MRS. ATKINS. Let’s go, Kate. I’m boilin’ in here. (MRS. MAYO _wheels her",go--that’s all there is to it; and I wouldn’t have you miss this chance,2
376463,"something calling me---- (_He points to the horizon_) Oh, I can’t just","explain it to you, Andy.","ANDREW. No need to, Rob. (_Angry at himself_) Hell! You want to",go--that’s all there is to it; and I wouldn’t have you miss this chance,for the world.,"carelessness, of inefficiency, of an industry gone to seed. The chairs",1
799110,"explain it to you, Andy.","ANDREW. No need to, Rob. (_Angry at himself_) Hell! You want to",go--that’s all there is to it; and I wouldn’t have you miss this chance,for the world.,"ROBERT. It’s fine of you to feel that way, Andy.","RUTH. Oh, because--everything.",1
244679,"ANDREW. No need to, Rob. (_Angry at himself_) Hell! You want to",go--that’s all there is to it; and I wouldn’t have you miss this chance,for the world.,"ROBERT. It’s fine of you to feel that way, Andy.","and strides toward the door rear, right_).","ANDREW. Huh! I’d be a nice son-of-a-gun if I didn’t, wouldn’t I? When I",2
797807,go--that’s all there is to it; and I wouldn’t have you miss this chance,for the world.,"ROBERT. It’s fine of you to feel that way, Andy.","ANDREW. Huh! I’d be a nice son-of-a-gun if I didn’t, wouldn’t I? When I",You ought to have been there. I remember thinking about you at the worst,"know how you need this sea trip to make a new man of you--in the body,",2
857722,for the world.,"ROBERT. It’s fine of you to feel that way, Andy.","ANDREW. Huh! I’d be a nice son-of-a-gun if I didn’t, wouldn’t I? When I","know how you need this sea trip to make a new man of you--in the body,",I mean--and give you your full health back.,"ROBERT. (_kissing her--with a smile_) There! It’s better now, dear,",1
712376,"ROBERT. It’s fine of you to feel that way, Andy.","ANDREW. Huh! I’d be a nice son-of-a-gun if I didn’t, wouldn’t I? When I","know how you need this sea trip to make a new man of you--in the body,",I mean--and give you your full health back.,ROBERT. (_a trifle impatiently_) All of you seem to keep harping on my,ROBERT. (_trying to raise himself to a sitting position as they hasten,1
857703,"ANDREW. Huh! I’d be a nice son-of-a-gun if I didn’t, wouldn’t I? When I","know how you need this sea trip to make a new man of you--in the body,",I mean--and give you your full health back.,ROBERT. (_a trifle impatiently_) All of you seem to keep harping on my,health. You were so used to seeing me lying around the house in the old,it he did when he was talking to me this evening.,1
631094,"know how you need this sea trip to make a new man of you--in the body,",I mean--and give you your full health back.,ROBERT. (_a trifle impatiently_) All of you seem to keep harping on my,health. You were so used to seeing me lying around the house in the old,the matter with you?,days that you never will get over the notion that I’m a chronic invalid.,2
