sentence_id,sentence_1,sentence_2,sentence_3,sentence_4,candidate_1,candidate_2,label
16,"MR. MARTIN: I traveled second class, madam. There is no second class in England, but I always travel second class.","MRS. MARTIN: That is curious! How very bizarre! And what a coincidence! I, too, sir, I traveled second class.","MR. MARTIN: How curious that is! Perhaps we did meet in second class, my dear lady!","MRS. MARTIN: That is certainly possible, and it is not at all unlikely. But I do not remember very well, my dear sir!","MARY: I'm going to recite a poem, then, is that agreed? It is a poem entitled ""The Fire"" in honor of the Fire Chief:                                                      The Fire                                       The polypoids were burning in the wood                                                 A stone caught fire                                                The castle caught fire                                                The forest caught fire                                                The men caught fire                                               The women caught fire                                                The birds caught fire                                                 The fish caught fire                                                The water caught fire                                                 The sky caught fire                                                The ashes caught fire                                               The smoke caught fire                                                 The fire caught fire                                               Everything caught fire![She recites the poem while the Smiths are pushing her offstage]","MR. MARTIN: My seat was in coach No.8, compartment 6, my dear lady.",2
17,"MR. MARTIN: How curious that is and what a bizarre coincidence! Perhaps we met in compartment 6, my dear lady?","MRS. MARTIN: It is indeed possible, after all! But I do not recall it, my dear sir!","MR. MARTIN: To tell the truth, my dear lady, I do not remember it either, but it is possible that we caught a glimpseof each other there, and as I think of it, it seems to me even very likely.","MRS. MARTIN: Oh! truly, of course, truly, sir!","MR. MARTIN: How curious it is! I had seat No.3, next to the window, my dear lady.","FIRE CHIEF: Don't get excited. You tell me, Mrs. Smith.",1
18,"MRS. MARTIN: How curious it is! It is possible, but I do not recall it, sir!","MR. MARTIN: To tell the truth, my dear lady, I do not remember it either. However, it is very possible that we saweach other on that occasion.","MRS. MARTIN: It is true, but I am not at all sure of it, sir.","MR. MARTIN: Dear madam, were you not the lady who asked me to place her suitcase in the luggage rack and whothanked me and gave me permission to smoke?",MRS. SMITH: And I was saying that each time the doorbell rings there is never anyone there.,"MRS. MARTIN: But of course, that must have been I, sir. How curious it is, how curious it is, and what a coincidence!",2
19,"MRS. MARTIN: How curious it is and what a coincidence! It is indeed possible, my dear sir! However, I do notbelieve that I recall it.","MR. MARTIN: Nor do I, madam. [A moment of silence. The clock strikes twice, then once.] Since coming to London, Ihave resided in Bromfield Street, my dear lady.","MRS. MARTIN: How curious that is, how bizarre! I, too, since coming to London, I have resided in Bromfield Street,my dear sir.","MR. MARTIN: How curious that is, well then, well then, perhaps we have seen each other in Bromfield Street, mydear lady.","MRS. MARTIN: How curious that is, how bizarre! It is indeed possible, after all! But I do not recall it, my dear sir.",MR. SMITH: Why do you pretend to be astonished? You know very well that he's been dead these past two years.Surely you remember that we attended his funeral a year and a half ago.,1
20,"MRS. MARTIN: How curious that is. I also reside at No. 19, my dear sir.","MR. MARTIN: Well then, well then, well then, well then, perhaps we have seen each other in that house, dear lady?","MRS. MARTIN: It is indeed possible but I do not recall it, dear sir.","MR. MARTIN: My flat is on the fifth floor, No.8, my dear lady.","MRS. MARTIN: Oh! truly, of course, truly, sir!","MRS. MARTIN: How curious it is, good Lord, how bizarre!And what a coincidence! I too reside on the fifth floor, in flat No.8, dear sir!",2
21,"MRS. MARTIN: What a coincidence, good Lord, what a coincidence! My bedroom, too, has a bed with a greeneiderdown and is at the end of the corridor, between the w.c., dear sir, and the bookcase!","MR. MARTIN: How bizarre, curious, strange! Then, madam, we live in the same room and we sleep in the same bed,dear lady. It is perhaps there that we have met!","MRS. MARTIN: How curious it is and what a coincidence! It is indeed possible that we have met there, and perhapseven last night. But I do not recall it, dear sir!","MR. MARTIN: I have a little girl, my little daughter, she lives with me, dear lady. She is two years old, she's blonde,she has a white eye and a red eye, she is very pretty, her name is Alice, dear lady.",MRS. MARTIN: Sainte-Nitouche stoops to my cartouche.,"MRS. MARTIN: What a bizarre coincidence! I, too, have a little girl. She is two years old, has a white eye and a redeye, she is very pretty, and her name is Alice, too, dear sir!",2
22,"MRS. MARTIN: How curious it is! It is indeed possible, dear sir. [A rather long moment of silence. The clock strikes29 times.]","MR. MARTIN [after having reflected at length, gets up slowly and, unhurriedly, moves toward Mrs. Martin, who,surprised by his solemn air, has also gotten up very quietly. Mr. Martin, in the same flat, monotonous voice, slightlysing- song]: Then, dear lady, I believe that there can be no doubt about it, we have seen each other before and you aremy own wife. ..Elizabeth, I have found you again![Mrs. Martin approaches Mr. Martin without haste. They embrace without expression. The clock strikes once, veryloud. This striking of the clock must be so loud that it makes the audience jump. The Martins do not hear it.]","MRS. MARTIN: Donald, it's you, darling![They sit together in the same armchair, their arms around each other, and fall asleep. The clock strikes several moretimes. Mary, on tiptoe, a finger to her lips, enters quietly and addresses the audience.]","MARY: Elizabeth and Donald are now too happy to be able to hear me. I can therefore let you in on a secret. Elizabethis not Elizabeth, Donald is not Donald. And here is the proof: the child that Donald spoke of is not Elizabeth'sdaughter, they are not the same person. Donald's daughter has one white eye and one red eye like Elizabeth's daughter.Whereas Donald's child has a white right eye and a red left eye, Elizabeth's child has a red right eye and a white lefteye! Thus all of Donald's system of deduction collapses when it comes up against this last obstacle which destroys hiswhole theory. In spite of the extraordinary coincidences which seem to be definitive proofs, Donald and Elizabeth, notbeing the parents of the same child, are not Donald and Elizabeth. It is in vain that he thinks he is Donald, it is in vainthat she thinks she is Elizabeth. He believes in vain that she is Elizabeth. She believes in vain that he is Donald -theyare sadly deceived. But who is the true Donald? Who is the true Elizabeth? Who has any interest in prolonging thisconfusion? I don't know. Let's not try to know. Let's leave things as they are. [She takes several steps toward the door,then returns and says to the audience:] My real name is Sherlock Holmes. [She exits.][The clock strikes as much as it likes. After several seconds, Mr. and Mrs. Martin separate and take the chairs they hadat the beginning.]",FIRE CHIEF: No.,"MR. MARTIN: Darling, let's forget all that has not passed between us, and, now that we have found each other again,let's try not to lose each other any more, and live as before.",2
23,"MRS. SMITH: Good evening, dear friends! Please forgive us for having made you wait so long. We thought that weshould extend you the courtesy to which you are entitled and as soon as we learned that you had been kind enough togive us the pleasure of coming to see us without prior notice we hurried to dress for the occasion.","MR. SMITH [furious]: We've had nothing to eat all day. And we've been waiting four whole hours for you. Why haveyou come so late?[Mr. and Mrs. Smith sit facing their guests. The striking of the clock underlines the speeches, more or less strongly,according to the case. The Martins, particularly Mrs. Martin, seem embarrassed and timid. For this reason theconversation begins with, difficulty and the words are uttered, at the be ginning, awkwardly. A long embarrassedsilence at first, then other silences and hesitations follow.]",MR. SMITH: Hm. [Silence.],"MRS. SMITH: Hm, hm. [Silence.]","MRS. MARTIN: Hm, hm, hm. [Silence.]",MRS. SMITH: It was in all the papers.,1
24,"MRS. MARTIN: Oh, but definitely. [Silence.]",MR. MARTIN: We all have colds. [Silence.],"MR. SMITH: Nevertheless, it's not chilly. [Silence.]",MRS. SMITH: There's no draft. [Silence.],"MR. MARTIN: Oh no, fortunately. [Silence.]","MRS. MARTIN: B, c, d, f g, 1, m, n, p, r, s, t, v, w, x, z!",1
25,MR. MARTIN: Don't you feel well? [Silence.],"MRS. SMITH: No, he's wet his pants. [Silence.]","MRS. MARTIN: Oh, sir, at your age, you shouldn't. [Silence.]",MR. SMITH: The heart is ageless. [Silence.],"MRS. SMITH [to the Fire Chief]: Let's have another, Mr. Fire Chief...",MR. MARTIN: That's true. [Silence.],2
26,MRS. MARTIN: They also say the opposite [Silence],MR. SMITH: The truth lies somewhere between the two [Silence],MR. MARTIN: That’s true. [Silence],"MRS. SMITH [to the Martins]: Since you travel so much, you must have many interesting things to tell us.","MR. MARTIN [to his wife]: My dear, tell us what you’ve seen today.","FIRE CHIEF [Jealous]: Not so good. And anyway, I've heard it before.",1
27,MR. SMITH: We’re not going to question your sincerity!,MRS. SMITH: You will offend us if you think that.,"MR. MARTIN [to his wife]: You will offend them, my dear, if you think that …","MRS. MARTIN [graciously]: Oh, well today I witnessed something extraordinary. Something really incredible.",MRS. SMITH: Begin!,"MR. MARTIN: Tell us quickly, my dear.",2
28,"MRS. SMITH: At last.MRS MARTIN: Well, today, when I went shopping to buy some vegetables, which are getting to be dearer anddearer…MRS SMITH: Where is it all going to end?","MR. SMITH: You shouldn’t interrupt, my dear, it’s very rude.","MRS. MARTIN: In the street, near a café, I saw a man, properly dressed, about fifty years old, or not even that, who…","MR. SMITH: Who, what?","MR. MARTIN, MR. SMITH, MRS. SMITH: Fantastic!","MRS. SMITH: Who, What?",2
29,"MRS. SMITH: My dear, it is you who interrupted first, you boor.",MR. SMITH: [to his wife]: Hush. [To Mrs. Martin:] What was this man doing?,"MRS. MARTIN: Well, I’m sure you’ll say that I’m making it up----he was down on one knee and he was bent over.","MR. MARTIN, MR. SMITH, MRS. SMITH: Oh!","MRS. MARTIN: Yes, bent over.","MR. MARTIN, MR. SMITH, MRS. SMITH: Oh!",1
30,"MRS. MARTIN: Yes, bent over. I went near him to see what he was doing. ..",MR. SMITH: And?,MRS. MARTIN: He was tying his shoe lace which had come undone.,"MR. MARTIN, MR. SMITH, MRS. SMITH: Fantastic!","MRS. SMITH: But still, the soup was perhaps a little too salt. It was saltier than you. Ha, ha, ha. It also had too mayleeks and not enough onions. I regret I didn’t advise Mary to add some aniseed stars. The next time I’ll know better.MR SMITH: [continues to read, clicks his tongue]","MR. SMITH: If someone else had told me this, I'd not believe it.",2
31,MRS. SMITH: What a character!,MR. SMITH: Perhaps it was the same man! [The doorbell rings.],"MR. SMITH: Goodness, someone is ringing.","MRS. SMITH: There must be somebody there. I'll go and see[She goes to see, she opens the door and closes it, and come back.] Nobody. [She sits down again.]","MARY: Why have you come so late! You are not very polite. People should be punctual. Do you understand? But sitdown there, anyway, and wait now that you're here.[She exits. Mr. and Mrs. Martin sit facing each other, without speaking. They smile timidly at each other. The dialoguewhich follows must be spoken in voices that are drawling, monotonous, a little singsong, without nuances.*]",MR. MARTIN: I'm going to give you another example. .. [Doorbell rings again.],2
32,"MRS. SMITH: There must be somebody there. I'll go and see [She goes to see, opens the door, and comes back.] No one[She sits down again.]",MR. MARTIN [who has forgotten where he was]: Uh ...,MRS. MARTIN: You were saying that you were going to give us another example.,"MR. MARTIN: Oh, yes...[Doorbell rings again.]","MR. SMITH: [continues to read, clicks his tongue]","MR. SMITH: Goodness, someone is ringing.",2
33,"MR. SMITH: Yes, but there must be someone there!","MRS. SMITH: The first time there was no one. The second time, no one. Why do you think that there is someone therenow?",MR. SMITH: Because someone has rung!,MRS. MARTIN: That's no reason.,"MR. MARTIN: What? When one hears the doorbell ring, that means someone is at the door ringing to have the dooropened.","MRS. SMITH: I only know one. I'm going to tell it to you. It's called ""The Bouquet.""",1
34,"MR. MARTIN: In most cases, yes.","MR. SMITH: As for me, when I go to visit someone, I ring in order to be admitted. I think that everyone does the samething and that each time there is a ring there must be someone there.",MRS. SMITH: That is true in theory. But in reality things happen differently. You have just seen otherwise.,MRS. MARTIN: Your wife is right.,MR. MARTIN: Oh! You women! You always stand up for each other.,"FIRE CHIEF: ""The Headcold."" My brother-in law had, on the paternal side, a first cousin whose maternal uncle had afather-in-law whose paternal grandfather had married as his second wife a young native whose brother he had met onone of his travels, a girl of whom he was enamored and by whom he had a son who married an intrepid lady pharmacistwho was none other than the niece of an unknown fourth-class petty officer of the Royal Navy and whose adoptedfather had an aunt who spoke Spanish fluently and who was, perhaps, one of the granddaughters of an engineer whodied young, himself the grandson of the owner of a vineyard which produced mediocre wine, but who had a secondcousin, a stay-at-home, a sergeant-major, whose son had married a very pretty young woman, a divorcee, whose firsthusband was the son of a loyal patriot who, in the hope of making his fortune, had managed to bring up one of hisdaughters so that she could marry a footman who had known Rothschild, and whose brother, after having changed histrade several times, married and had a daughter whose stunted great-grandfather wore spectacles which had been givenhim by a cousin of his, the brother-in-law of a man from Portugal, natural son of a miller, not too badly off, whosefoster-brother had married the daughter of a former country doctor, who was himself a foster-brother of the son of aforrester, himself the natural son of another country doctor, married three times in a row, whose third wife…",1
35,"MRS. SMITH: Oh, these men who always think they're right and who're always wrong![The doorbell rings again.]","MR. SMITH: Goodness, someone is ringing. There must be someone there.",MRS. SMITH [in a fit of anger]: Don't send me to open the door again. You've seen that it was useless. Experienceteaches us that when one hears the doorbell ring it is because there is never anyone there.,MRS. MARTIN: Never.,MRS. MARTIN: What is the moral?,MR. MARTIN: That's not entirely accurate.,2
36,MRS. SMITH: He won't admit he's wrong.,"MRS. MARTIN: My husband is very obstinate, too.",MR. SMITH: There's someone there.,MR. MARTIN: That's not impossible.,"MARY: Why have you come so late! You are not very polite. People should be punctual. Do you understand? But sitdown there, anyway, and wait now that you're here.[She exits. Mr. and Mrs. Martin sit facing each other, without speaking. They smile timidly at each other. The dialoguewhich follows must be spoken in voices that are drawling, monotonous, a little singsong, without nuances.*]",MRS. SMITH [to her husband]: No.,2
37,"MRS. SMITH: I tell you no. In any case you are not going to disturb me again for nothing. If you wish to know, go andlook yourself!",MR. SMITH: I'll go.[Mrs. Smith shrugs her shoulders. Mrs. Martin tosses her head.],"MR. SMITH [opening the door]: Oh! how do you do. [He glances at Mrs. Smith and the Martins, who are allsurprise.] It's the Fire Chief!","FIRE CHIEF [he is of course in uniform and is wearing an enormous shining helmet]: Good evening, ladies andgentlemen. [The Smiths and the Martins are still slightly astonished. Mrs. Smith turns her head away, in a temper, anddoes not reply to his greeting.] Good evening, Mrs. Smith. You appear to be angry.",MRS. SMITH: Oh!,"MR. MARTIN: I traveled second class, madam. There is no second class in England, but I always travel second class.",1
38,"MR. MARTIN: There's been an argument between Mr. and Mrs. Smith, Mr. Fire Chief.",MRS. SMITH [to Mr. Martin]: This is no business of yours![To Mr. Smith:] I beg you not to involve outsiders in our family arguments.,"MR. SMITH: Oh, my dear, this is not so serious. The Fire Chief is an old friend of the family. His mother courted me,and I knew his father. He asked me to give him my daughter in marriage if ever I had one. And he died waiting.MR. MAR TIN: That's neither his fault, nor yours.","FIRE CHIEF: Well, what is it all about?","MRS. MARTIN: What I think is that a maid, after all--even though it's none of my business-is never anything but amaid...",MRS. SMITH: My husband was claiming. ..,2
39,"MR. MARTIN: Yes, it was she.","MRS. MARTIN: No, it was he.","FIRE CHIEF: Don't get excited. You tell me, Mrs. Smith.","MRS. SMITH: Well, this is how it was. It is difficult for me to speak openly to you, but a fireman is also a confessor.","MR. MARTIN [musing]: How curious it is, how curious it is, how curious it is, and what a coincidence! You know, inmy bedroom there is a bed, and it is covered with a green eiderdown. This room, with the bed and the green eiderdown,is at the end of the corridor between the w.c. and the bookcase, dear lady!",FIRE CHIEF: Well then?,2
40,MR. MARTIN: It is plausible.,MRS. SMITH: And I was saying that each time the doorbell rings there is never anyone there.,MRS. MARTIN: It might seem strange.,"MRS. SMITH: But it has been proved, not by theoretical demonstrations, but by facts.",MR. MARTIN: We all have colds. [Silence.],"MR. SMITH: That's false, since the Fire Chief is here. He rang the bell, I opened the door, and there he was.",2
41,MR. MARTIN: But just now.,"MRS. SMITH: Yes, but it was only when you heard the doorbell ring the fourth time that there was someone there.And the fourth time does not count.",MRS. MARTIN: Never. It is only the first three times that count.,"MR. SMITH: Mr. Fire Chief, permit me in my turn to ask you several questions.",FIRE CHIEF: Go right ahead.,"MRS. MARTIN: Yes, darling.[Mr. and Mrs. Smith enter from the right, wearing the same clothes.]",1
42,"FIRE CHIEF: Yes, it was I.",MR. MARTIN: You were at the door? And you rang in order to be admitted?,FIRE CHIEF: I do not deny it.,"MR. SMITH [to his wife, triumphantly]: You see? I was right. When you hear the doorbell ring, that means someonerang it. You certainly cannot say that the Fire Chief is not someone.","MRS. SMITH: Certainly not. I repeat to you that I was speaking of only the first three times, since the fourth time doesnot count.",MR. MARTIN: An Englishman's home is truly his castle.,1
43,"FIRE CHIEF: No, it was not I.",MRS. MARTIN: You see? The doorbell rang and there was no one there.,MR. MARTIN: Perhaps it was someone else?,MR. SMITH: Were you standing at the door for a long time?,"MRS. MARTIN: How curious it is, good Lord, how bizarre!And what a coincidence! I too reside on the fifth floor, in flat No.8, dear sir!",FIRE CHIEF: Three-quarters of an hour.,2
44,FIRE CHIEF: No one. I am sure of that.,MRS. MARTIN: And did you hear the bell when it rang the second time?,"FIRE CHIEF: Yes, and that wasn't I either. And there was still no one there.",MRS. SMITH: Victory! I was right.,MR. SMITH [to his wife]: Not so fast. [To the Fire Chief:] And what were you doing at the door?,MRS. MARTIN: I think so too.,1
45,MR. MARTIN [to the Fire Chief]: But the third time--it was not you who rang?,"FIRE CHIEF: Yes, it was I.",MR. SMITH: But when the door was opened nobody was in sight.,FIRE CHIEF: That was because I had hidden myself—as a joke.,"MRS. SMITH: Don't make jokes, Mr. Fire Chief. This business is too sad.",MR. SMITH: I've been goosed.,1
46,MRS. SMITH: Never anyone.,MR. SMITH: Always someone.,"FIRE CHIEF: I am going to reconcile you. You both are partly right. When the doorbell rings, sometimes there issomeone, other times there is no one.",MR. MARTIN: This seems logical to me.,MRS. MARTIN: I think so too.,MR. SMITH: The truth lies somewhere between the two [Silence],1
47,MRS. SMITH: We just kissed each other a little while ago.,MR. MARTIN: They'll kiss each other tomorrow. They have plenty of time.,"MRS. SMITH: Mr. Fire Chief, since you have helped us settle this, please make yourself comfortable, take off yourhelmet and sit down for a moment.","FIRE CHIEF: Excuse me, but I can't stay long. I should like to remove my helmet, but I haven't time to sit down. [Hesits down, without removing his helmet.] I must admit that I have come to see you for another reason. I am on officialbusiness.","MRS. SMITH: And what can we do for you, Mr. Fire Chief? FIRE CHIEF: I must beg you to excuse my indiscretion [terribly embarrassed] ...uhm [He points a finger at theMartins] ...you don't mind. ..in front of them...",FIRE CHIEF: Nothing. I was just standing there. I was thinking of many things.,1
48,MR. MARTIN: We're old friends. They tell us everything. MR. SMITH: Speak.,"FIRE CHIEF: Eh, well—is there a fire here?",MRS. SMITH: Why do you ask us that?,FIRE CHIEF: It's because—pardon me—I have orders to extinguish all the fires in the city.,MRS. MARTIN: All?,"MRS. MARTIN: B, c, d, f g, 1, m, n, p, r, s, t, v, w, x, z!",1
